season,season_start_year,league,division,league_finish,position,name,nationality,age,minutes_(total),starting_appearances_(league),substitute_appearances_(league),starting_appearances_(total),substitute_appearances_(total),total_appearances,goals_(total),goals_(league),g/minutes_(total),g/appearances_(total),european_competition,tier,performance,round_of_tournament,homegrown_players,transfers_in,transfers_out,net_transfers,games_played_(total),goals_for_(total),goals_against_(total),goal_difference_(total),goals_per_game_(total),games_played_(league),goals_for_(league),goals_against_(league),goal_difference_(league),goals_per_game_(league),average_age,average_appearances,average_minutes
1995-1996,1995,Segunda División,2,15,GK,Luis Pascual,Spain,27,2880,31,0,32,0,32,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,GK,Alejandro Revuelta,Spain,24,0,0,0,0,0,0,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,GK,Juan Díez de los Ríos,Spain,19,0,0,0,0,0,0,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,GK,Francisco Sánchez Broto,Spain,24,720,7,0,8,0,8,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,DF,Pascual Donat,Spain,27,2563,30,1,31,2,33,1,1,2563.0,33.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,DF,Fernando Maestre,Spain,33,2417,28,2,28,2,30,1,1,2417.0,30.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,DF,Samuel Barrio González,Spain,23,248,2,1,3,1,4,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,DF,Javi López,Spain,31,2482,28,0,29,0,29,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,DF,José Serer,Spain,29,847,11,0,11,0,11,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,DF,Antonio Dasí,Spain,25,463,4,3,5,3,8,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,DF,Miodrag Belodedici,Romania,31,1342,15,1,15,1,16,2,2,671.0,8.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,DF,Alberto Mártinez,Spain,20,1346,13,5,14,5,19,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,DF,Arnaldo Claut,Argentina,25,646,7,3,8,4,12,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Pedro Cañada,Spain,18,495,5,8,5,8,13,1,1,495.0,13.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,José Luis Zandio,Spain,28,315,4,0,4,0,4,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Alberto Solaeta,Spain,25,762,7,5,8,5,13,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Alexandre José de Oliveira,Brazil,18,1881,20,9,21,10,31,3,3,627.0,10.333333333333334,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Carlos Isach,Spain,17,99,0,4,0,4,4,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Francisco Cornago,Spain,26,21,21,10,22,11,33,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Iván Parra,Spain,21,2262,22,5,24,5,29,1,1,2262.0,29.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Juan Carlos Justes,Spain,33,2744,30,3,32,3,35,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Jordi Vinyals,Spain,32,3143,35,1,36,1,37,5,4,628.6,7.4,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Robert Fernández,Spain,33,3356,36,0,37,1,38,4,3,839.0,9.5,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,MF,Nebojsa Scepanović,Montenegro,28,479,5,4,5,4,9,1,1,479.0,9.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,FW,Raúl dos Santos,Uruguay,28,1097,11,4,13,4,17,3,2,365.6666666666667,5.666666666666667,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,FW,Diego Seoane,Uruguay,26,589,7,4,7,4,11,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,FW,Ricky Fargas,Spain,24,780,7,11,7,11,18,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,FW,Antonio Puche II,Spain,23,981,9,9,11,9,20,4,3,245.25,5.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
